Job_title,Company,Location,Salary,Job_description
Business Analystnew,ClearOne Advantage,"Baltimore, MD",77500.0,"Ability to gather andinterpret relevant data and information.Business Analysis: 3 years (Required).Evaluating the datacollected through task analysis,…"
Business Analystnew,ClearOne Advantage,"Baltimore, MD",77500.0,Business Analysis: 3 years (Required).Collecting andanalyzing business requirements and transferring knowledge to development team.
Senior Systems & Infrastructure Business Analyst,Matthew Noah,"San Antonio, TX",72500.0,"Conducting data accumulation, consolidation, and analysis.Strong analytical, technical and conceptual skills with attention to detail."
PROGRAM ANALYST,US Department of Defense,"San Antonio, TX",88855.0,"Defense Human Resources Agency's mission is to provide program support, information management, and administrative services to the DoD Components on human…"
BUDGET ANALYST,US Department of the Air Force,"Lackland AFB, TX",74130.5,"Open to: PUBLIC - TERM APPOINTMENT NTE 3 YEARS This is a TERM position NTE 3 YEARS.Provided all criteria is met in accordance with DODI 1400.25 Vol 2005, dated…"
PROGRAM ANALYST,US Department of the Air Force,"Randolph AFB, TX",105659.0,Serves as advisor/subject matter expert to the Chief of Staff for the acquisition of service contracts and future budget years for serviced contracted services…
IT Business Analyst II (Enrollment Communications & Systems),University of Texas at San Antonio,"San Antonio, TX",51037.5,Prepare and update useful and accurate documentation as appropriate to support processes and correctly detail report specifications.
Business Analyst and System Developer II,Global Dimensions,"Fort Sam Houston, TX",77500.0,"Provide senior design, development, integration, administration, sustainment, and management services for Southern Regional Medical Command's Microsoft…"
PROGRAM ANALYST (Cyber Operations),US Department of the Air Force,"Lackland AFB, TX",88855.0,The primary purpose of this position is to serve as a Program Analyst responsible for integrating cyber operations into mission objectives; and providing staff…
IT Business Analyst II (Enrollment Communications & Systems),University of Texas at San Antonio,"San Antonio, TX",51037.5,"QUALITY CONTROL – Review, prepare, analyze and interpret data to determine reasonableness and accuracy of information data (QC)."
Business Analyst and System Developer II,Global Dimensions,"Fort Sam Houston, TX",77500.0,Create applications from conception (entity/relationship and data flow diagrams) to deployment using UML principles.
PROGRAM ANALYST (Cyber Operations),US Department of the Air Force,"Lackland AFB, TX",88855.0,"Knowledge of analytical and evaluative methods and techniques, as well as measurement of data to plan, schedule, and conduct projects and studies to evaluate…"
Business Analyst and System Developer IInew,Global Dimensions,"Fort Sam Houston, TX",77500.0,Create applications from conception (entity/relationship and data flow diagrams) to deployment using UML principles.
PROGRAM ANALYST (Cyber Operations)new,US Department of the Air Force,"Lackland AFB, TX",88855.0,"Knowledge of analytical and evaluative methods and techniques, as well as measurement of data to plan, schedule, and conduct projects and studies to evaluate…"
Junior Data Analyst,Advera Health Analytics,"San Diego, CA",39000.0,"We are currently seeking an entry level Junior Data Analyst.The primary role of the Junior Data Analyst is to gather, classify, and enter into our database…"
Business Analyst - Strategy Consulting,Bainbridge,"San Diego, CA",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
IT Business Analyst,San Diego Housing Commission,"San Diego, CA",74900.5,"Testing and evaluating data results.Proven ability to: learn a new technology quickly, be extremely analytical, communicate complex procedures to colleagues…"
Digital Business Analyst,Circa Interactive,"San Diego, CA",60000.0,You are an experienced digital marketing pro and have the ability to translate client goals into a multi-dimensional enrollment marketing strategy that achieves…
Senior Program Analyst,San Diego Housing Commission,"San Diego, CA",82586.5,"Equivalent to graduation from an accredited four-year college or university with major coursework in business administration, finance, public administration, or…"
Senior Logistics Analyst (ASHORE/AFLOAT),"Omni2Max, Inc.","Coronado, CA",67500.0,NAVAIR processes: 5 years (Required).Stock Control operation: 5 years (Required).U.S. Navy HAZMAT and MHE management: 5 years (Required).
PeopleSoft Business Analyst-Downtown Indianapolis,Insight Global,"Indianapolis, IN",70435.5,Business analyst: 3 years (Required).SQL reporting: 3 years (Required).SQL reporting and queries*.3+ years of experience with data mining and writing SQL…
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Indianapolis, IN",140600.0,"As a Director I, Data Products with Liberty Mutual Insurance, you will be a key strategic leader responsible for creating and executing our BI and Analytics…"
Entry Level Business Analyst,IT EXCEL LLC,"Indianapolis, IN",62500.0,"Review, analyze and evaluate business systems and user needs.Document requirements, define scope and objectives and formulate systems to parallel overall…"
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Indianapolis, IN",140600.0,"Product planning, defining detailed requirements, coordinating across teams (front end developers, data engineers, solution engineers, data scientists, data…"
Management and Program Analyst,US Department of Veterans Affairs,"Indianapolis, IN",98478.5,"The incumbent provides MWD leadership with objective risk, compliance, performance, and improvement data and recommendations to support well informed decision…"
FINANCIAL SYSTEMS ANALYST (PROJMGT),US Department of Defense,"Indianapolis, IN",83970.0,"Analyzes data requirements for the enhancement of automated financial management systems.Research and analyzes the customer experience, and identifies…"
Supervisory Management & Program Analyst,US Department of Veterans Affairs,"Indianapolis, IN",105794.5,"Examples of specialized experience would typically include, but are not limited to: Extensive experience in the Program and Management Analyst field that…"
PeopleSoft Business Analyst-Downtown Indianapolis,Insight Global,"Indianapolis, IN",70435.5,Business analyst: 3 years (Required).50% of the day will be spent pulling data from a legacy mainframe onto the new Oracle Peoplesoft ERP system- providing…
"Director I, Data Products - BI & Analyticsnew",Liberty Mutual Insurance,"Indianapolis, IN",140600.0,"Product planning, defining detailed requirements, coordinating across teams (front end developers, data engineers, solution engineers, data scientists, data…"
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Indianapolis, IN",140600.0,"Advance your career at Liberty Mutual Insurance - A Fortune 100 Company. As a Director I, Data Products with Liberty Mutual Insurance, you will be a key…"
Business Analyst,"May Insurance Services, Inc.","Columbus, OH",70000.0,Business analysis: 5 years (Preferred).We are growing our dynamic team; looking for the right person to handle all commission accounting as well as data…
Genetic Data Analyst - (453983),The Ohio State University Wexner Medical Center,"Columbus, OH",71012.5,"Bachelor's degree in biostatistics, statistics, or a similar field with relevant mathematical training or equivalent combination of education and experience…"
Business Analyst - Strategy Consulting,Bainbridge,"Columbus, OH",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Data Governance Senior Analyst - (455939),The Ohio State University Wexner Medical Center,"Columbus, OH",100215.0,"Data Governance Senior Analyst (Job Opening 455939)* - Under the direction of the Data Governance Consultant, responsible for the development and technical…"
Business Analyst,"May Insurance Services, Inc.","Columbus, OH",70000.0,Business data reports and analysis.Business analysis: 5 years (Preferred).We are growing our dynamic team; looking for the right person to handle all…
Business Analyst,Greif,"Delaware, OH",66418.0,"In the alternative, the employer will accept 3 years of academic study and 2+ years of professional experience working in accounting, finance functions in the…"
Sr. Business Analyst,"Yashco Systems, Inc.","Hilliard, OH",103834.0,"Sr. Business Analyst (Multiple Positions with National Placement out of Franklin County, OH) Minimum of either a Bachelors degree and five (5) years of…"
"Sr. Director, Data & Analytics",Central Ohio Transit Authority,"Columbus, OH",106524.5,"Collaborates with COTA leadership to define data requirements for new business initiatives particularly in the areas of BI, analytics, and data warehousing;"
Program Analyst,US General Services Administration,"Fort Worth, TX",88251.5,"Receive authorization from OPM on any job offer you receive, if you are or were (within the last 5 years) a political Schedule A, Schedule C or Non-Career SES…"
IT Compliance Analyst,DynCorp International LLC.,"Fort Worth, TX",66000.0,Analyze data gathered to evaluate effectiveness of controls and determine accuracy of reports and efficiency and security of operations.
Data Analyst,Academic Analytics,"Charlotte, NC",72500.0,"Data Analysis: 3 years (Required).The Data Analyst will assist in the development, implementation, and maintenance of complex queries, reports, and analyses…"
Data Quality Analyst/Engineer,NTT DATA Services,"Charlotte, NC",90000.0,Work in fast paced environment with shifting priorities to analyze data and work with client sponsors to interpret data and influence changes.
"Data Analyst [Administrative] - Charlotte, NC",Tax Management Assoc,"Charlotte, NC",34000.0,"Have a strong organizational skills, a strong attention to detail, critical thinking skills, verbal communication skills, and a working knowledge of Excel and…"
Data Management Analyst - Winston-Salem/Salisbury/Charlotte,Vaco,"Mooresville, NC",75000.0,3-5 years of experience in data management or related area.Stands up and continuously develops the Data Steward capability ensuring key business areas are…
Data Business Analyst,Payzer,"Charlotte, NC",65000.0,"You will also identify and manage any customer data issues that occur as a result of the data-load process, and follow them to resolution."
Data Engineer/Analyst,Vaco,"Charlotte, NC",100000.0,Strong attention to detail and accuracy.You will be working with a team to meet data requirements and create data pipelines and dashboards.
Business Analyst - Strategy Consultingnew,Bainbridge,"Detroit, MI",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
"Program Associate I, Data Analyst",DPSCD,"Detroit, MI",65435.5,"5.Run simulations on evaluation frameworks and proposed methodologies.3.Engage in requirement gathering process with local stakeholders (principals, teachers,…"
Marketing Data Analyst,White Glove Workshops,"Birmingham, MI",70000.0,High attention to detail and organization.We’re looking for a Marketing Data Analyst who will be responsible for applying statistical techniques and…
Financial Analyst,Accounting Principals,"Detroit, MI",70000.0,5 years’ experience of financial and accounting principles and procedures.Excellent organization and time management skills with attention to detail.
Business Intelligence Analyst,"Engineering Technology Associates, Inc.","Troy, MI",92000.0,"BUSINESS INTELLIGENCE ANALYST: Collaborate with business partners in product development, manufacturing, purchasing, warranty, and other skill teams to define…"
Financial Analyst,Accounting Principals,"Detroit, MI",70000.0,Enter budget data into budget software.5 years’ experience of financial and accounting principles and procedures.Proficiency with accounting software systems.
Business Analyst,Cyrix Data Systems,"West Bloomfield Township, MI",84000.0,"Bachelor’s in Business Administration or Equivalent with 5 years of related experience is must.Business Analyst to Interview, analyze, draw requirements like…"
Business Intelligence Developer (Assistant Director),DPSCD,"Detroit, MI",78802.5,"5.Be a champion for the principles and guidelines of data visualization, keeping afloat on the discourse in the data visualization world."
Data Research Analyst (1121),Kiliuda Consulting,"El Paso, TX",55000.0,"Kiliuda Consulting, LLC provides expertise in the areas of Information Technology Consultation Services, Law Enforcement Support; Intelligence, Analysis…"
"Senior Business Analyst, Oracle Service Cloud",Helen of Troy,"El Paso, TX",129085.5,"5 years of implementation and support experience with (RightNow) Oracle Service Cloud.5 years of experience in PHP, .NET, Shell Scripting, Web Services, SOAP."
Data Research Analyst (1121),Kiliuda Consulting,"El Paso, TX",55000.0,"Provide data entry, data review and maintain database integrity.Ability to correlate data from disparate data sets and make sound judgements based on…"
Data Analyst,21st Century Staffing,"Memphis, TN",77500.0,"Data analyst: 3 years (Preferred).2-5 years experience with data visualization tools -- PowerBI.Data analysis: 3 years (Preferred).NET, VBA, C, Perl, etc."
Data Specialist & Analyst,Quality Incentive Company,"Memphis, TN",40000.0,Conduct and/or assist with all program data formatting and entry.Experience working with Excel preparing and analyzing data and providing key business insights…
Business Analyst,Prospero Health,"Memphis, TN",70000.0,"You will conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare…"
Data Program Analyst,US Department of the Navy,"Millington, TN",84000.0,"Collects and maintains relevant data and present data for discussion and review by team members.Designs appropriate data tables for use in conducting analysis,…"
PROGRAM ANALYST,US Department of the Navy,"Millington, TN",88231.0,"Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position…"
Data Analyst,21st Century Staffing,"Memphis, TN",77500.0,"2-5 years experience with data visualization tools -- PowerBI.2-5 years experience with SAP.Business analysis: 3 years (Preferred).NET, VBA, C, Perl, etc."
Financial Data Analyst,"Medicem, Inc.","Boston, MA",95000.0,The Data Analyst will be responsible for analyzing sales and developing sales forecasting models.S/he will also perform pricing and costing analyses…
Data Analytics/Digital Marketing Analyst,Exceptional Lives https://exceptionallives.org,"Boston, MA",80000.0,"5 years of experience of supporting digital organizations with all analytics needs,.5 years of experience with Google Analytics and Google Tag Manager."
"Senior Data Solutions Analyst, GRM Data Operations",Liberty Mutual Insurance,"Boston, MA",106100.0,Leverage technology to develop analytic solutions within the insurance industry.Work in an Agile development environment to participate in strategic reporting…
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA",119250.0,Collaborate with business partners to research and develop predictive analytic solutions that enable data-driven strategic decision-making.
Data Analyst (HealthCare),Tufts University,"Boston, MA",55000.0,1-3 years experience required.The Nutrition Innovation Lab is seeking a full-time* Data Analyst position that will be based in Boston at the Friedman School.
Business Analyst - Strategy Consulting,Bainbridge,"Cambridge, MA",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Data Analytics/Digital Marketing Analyst,Exceptional Lives https://exceptionallives.org,"Boston, MA",80000.0,"Proven track record of turning raw data into meaningful analysis.5 years of experience of supporting digital organizations with all analytics needs,."
"Senior Data Solutions Analyst, GRM Data Operations",Liberty Mutual Insurance,"Boston, MA",106100.0,Understand and interface with enterprise data warehouse environments.Assist and lead data requirement and analysis sessions with end users.
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA",119250.0,"Utilize data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the…"
Business Analyst,Mills College,"Boston, MA",70500.0,"Looking for fresher/ experienced Business Analyst consultants for our direct client requirement.Visa Type : - Any Working Visa ( OPT, CPT, GC, GC-EAD, H4EAD,…"
Data Analyst,Operational Services Division,"Boston, MA",70991.5,"Utilizing statistical techniques, acquire data, analyze results and formulate recommendations.Develop application and data products (business process design…"
Jr Level Business Analyst,IT Excel LLC,"Foxborough, MA",62500.0,"Minimum Bachelor's Degree Required (any field).Must be ambitious, have strong work ethic, and a willingness to learn.Candidate must be willing to relocate."
E-commerce Data Analyst,KBW Financial Staffing & Recruiting,"Tewksbury, MA",100000.0,Pull data from online sites.Interpret and explain trends in data.The ideal candidate for the E-Commerce Data Analyst should have experience that meets the…
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Boston, MA",140600.0,"As a Director I, Data Products with Liberty Mutual Insurance, you will be a key strategic leader responsible for creating and executing our BI and Analytics…"
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Boston, MA",140600.0,"Product planning, defining detailed requirements, coordinating across teams (front end developers, data engineers, solution engineers, data scientists, data…"
Program Analyst,US Department of Veterans Affairs,"Braintree, MA",67746.0,"A Veteran as defined in 5 U.S.C 2108, who was unable to apply within two years of receiving their degree due to military service obligation, has as much as six…"
Asset Information Analyst,Massachusetts Bay Transportation Authority,"Boston, MA",90000.0,"In line with 49 CFR 625, 630, and 673 requirements, the Asset Analyst will assist in the asset management program to document processes and procedures for asset…"
Environmental Analyst III,Dept of Environmental Protect,"Boston, MA",79207.5,Attention to detail and organized.The Massachusetts Department of Environmental Protection (MassDEP) is the state agency responsible for ensuring clean air and…
SAS/SQL Programmer Analyst,Center for Healthcare Organization and Implementat...,"Jamaica Plain, MA",91168.0,"In addition to 2-3 years of current SAS programming experience, other desirable skills include: working knowledge of SQL; experience with other statistical…"
Senior Grants Analyst - Administration and Finance,Boston Public Health Commission,"Boston, MA",75000.0,"Ability to solve problems, think logically, take initiative, and pay attention to detail.The Senior Grant Analyst reports to the Director of Post-Award Grant…"
"Senior Director I, Data Science - GRS Predictive Analytics",Liberty Mutual Insurance,"Boston, MA",192450.0,"Extensive experience with building models using unstructured data such free text, images, voice data etc.Become an expert in the GRS Claims data environment…"
Financial Data Analyst,"Medicem, Inc.","Boston, MA",95000.0,Acquire data from primary or secondary data sources and maintain databases/data systems.Prior healthcare/pharmacy data experience preferred.
Director of Enterprise Applications & Business Intelligence,Boston Public Health Commission,"Boston, MA",115000.0,"Project management experience related to information systems, websites and computer information databases, including three (3) years' experience supervising,…"
Full-Time Board Certified Behavioral Analyst (BCBA;LABA;BCAB...,Autism Therapeutic Services LLC,"Boston, MA",70000.0,"Compile data for treatment plans.Create visual representation of data weekly.The job requires the BCBA to conduct thorough assessments, develop treatment…"
Lead Business Analyst,Executive Office of Education,"Malden, MA",105000.0,"This includes gathering and analyzing data in support of business cases, proposed projects, and systems requirements."
Board Certified Behavior Analyst (BCBA),Aspire Learning Center,"Beverly, MA",75000.0,The Licensed Board Certified Behavior Analyst will lead assessment and program development for children and adolescents on a predetermined case-load.
"Sr. Finance Manager, Operations Analysis",KBW Financial Staffing & Recruiting,"Concord, MA",145000.0,"The role will support operations and multiple plants, providing financial and operational decision support.Hands on FP&A: creating reports & KPIs."
"Senior Data Solutions Analyst, GRM Data Operationsnew",Liberty Mutual Insurance,"Boston, MA",106100.0,Understand and interface with enterprise data warehouse environments.Assist and lead data requirement and analysis sessions with end users.
"Analyst II, Data Sciencenew",Liberty Mutual Insurance,"Boston, MA",119250.0,"Utilize data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the…"
"Director I, Data Products - BI & Analyticsnew",Liberty Mutual Insurance,"Boston, MA",140600.0,"Product planning, defining detailed requirements, coordinating across teams (front end developers, data engineers, solution engineers, data scientists, data…"
"Director I, Data Products - BI & Analyticsnew",Liberty Mutual Insurance,"Boston, MA",140600.0,"As a Director I, Data Products with Liberty Mutual Insurance, you will be a key strategic leader responsible for creating and executing our BI and Analytics…"
"Senior Data Solutions Analyst, GRM Data Operationsnew",Liberty Mutual Insurance,"Boston, MA",106100.0,Leverage technology to develop analytic solutions within the insurance industry.Work in an Agile development environment to participate in strategic reporting…
"Analyst II, Data Sciencenew",Liberty Mutual Insurance,"Boston, MA",119250.0,Collaborate with business partners to research and develop predictive analytic solutions that enable data-driven strategic decision-making.
E-commerce Data Analyst,KBW Financial Staffing & Recruiting,"Tewksbury, MA",100000.0,Pull data from online sites.Interpret and explain trends in data.Experience working with large sets of data in excel.
Business Analyst - Strategy Consulting,Bainbridge,"Nashville, TN",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Program Analyst (Data Management),US Department of the Interior,"Nashville, TN",88231.0,"Coordinating the collection, tracking or processing of relevant data, such as departmental data, crime data, or FOIA requests, in support of program goals; 2)…"
Business Intelligence Analyst,NFuzionIT,"Louisville, KY",52500.0,Oversee the deployment of data to the data warehouse.Implement new data analysis methodologies.Perform data profiling to identify and understand anomalies.
Business Intelligence Analyst,NFuzionIT,"Louisville, KY",52500.0,This position also requires the employee to be on-site.We’re seeking a Business Intelligence Analyst with experience in data analytics and metrics…
Business Intelligence Analyst,Girl Scouts of Southern Nevada,"Las Vegas, NV",40000.0,"FLSA Status: Full Time (Regular), Exempt.The Business Intelligence Analyst is responsible for the administration, monitoring, and maintenance of our CRM…"
Business Intelligence Analyst,Girl Scouts of Southern Nevada,"Las Vegas, NV",40000.0,Perform data profiling exercises to better understand the data and work with internal teams to identify and resolve data quality issues.
Payment Processor and Data Analyst,Weststar Mortgage Corporation,"Albuquerque, NM",30000.0,"This is a high volume, high stress, fast paced position requiring a detail oriented, and analytical individual.Payment Processing: 1 year (Preferred)."
HR Classification And Compensation Analyst,Bernalillo County Government,"Albuquerque, NM",64823.5,"Bachelor's Degree in Human Resources, Business/Public Administration or related field plus five (5) years experience in human resources with three of those…"
Compensation Analyst,Bernalillo County Government,"Albuquerque, NM",52010.0,"Under general supervision provide a variety of professional, technical and analytical human resources functions in the area of compensation, classification,…"
PROGRAM ANALYST,US Department of the Air Force,"Albuquerque, NM",50049.5,"Ability to plan and organize work, and consult effectively with co-workers.Skill in communicating factual and procedural information clearly, orally and in…"
SUPERVISORY MANAGEMENT AND PROGRAM ANALYST,US Department of the Air Force,"Kirtland AFB, NM",124757.5,Knowledge of exercise program management along with the knowledge of research methods and assessment techniques to produce leading indicators on program health.
Supervisory Program Analyst,US Department of the Army,"Albuquerque, NM",105527.5,"Oversees the preparation of charts, reports, or other narrative and statistical material used in support of formal presentation of Military, IIS, HTRW…"
Supervisory Program Analyst,US Department of the Army,"Albuquerque, NM",105527.5,Ensures proper and timely maintenance of data for a number of project and financial databases and provides technical support as needed.
Director - Data Analytics,Strategic REI Inc.,"Fresno, CA",52500.0,Marketing data research preferred but not required.Apply analytical insight to often complex data sources in order to highlight key trends and anomalies in…
Director - Data Analytics,Strategic REI Inc.,"Fresno, CA",52500.0,"You will be expected to create a system that provides historical, current, and predictive views of our business operations."
Senior Loan Servicing Analyst,Sacramento Housing and Redevelopment Agency,"Sacramento, CA",79428.5,"Prepare and analyze CAPER data, action plans and budget documents.Evaluate and analyze data; evaluate and develop procedures and guidelines to ensure…"
Data Analytics Mid level Analyst,KK Technologies LLC,"Rancho Cordova, CA",70000.0,"Ensures data accuracy and validates all data collection methods used in reporting objects.Evaluate data quality, applications, and functions, produce output,…"
Program Analyst,US Department of Homeland Security,"Sacramento, CA",114345.0,This position serves as an analyst and advisor to management within FEMA's Public Assistance Division.This position is being announced under FEMA's Cadre of On…
Senior Loan Servicing Analyst,Sacramento Housing and Redevelopment Agency,"Sacramento, CA",79428.5,To provide a full range or portfolio management services and loan servicing for single and multifamily loans.Receives lead direction from Senior Staff.
IT Business Analyst,TriCom Quest,"Long Beach, CA",95000.0,"$85K – 105K / year, Exempt.7 years of industry experience.Bachelor’s degree or Master’s degree in a related field.Some domestic travel as required."
Data (Fp&a) Analyst,Osborne Homes,"Newport Beach, CA",90000.0,Analyze Financial and Operational data to help us spot the opportunity.Analyze and present economic data to assist in the pricing of assets.
Data Analyst,ONG HUMAN CAPITAL,"San Gabriel Valley, CA",60000.0,4 years Analyst Experience.Advanced Excel: 3 years (Required).Healthcare or residential facility: 3 years (Preferred).
Lead Business Analyst,New American Funding,"Tustin, CA",105000.0,"Proficiency in business applications, data usage and management.Proficiency in business applications, data usage and management."
IT Business Analyst,TriCom Quest,"Long Beach, CA",95000.0,"Track migration of customer data from existing systems.Create business cases, process modeling, data flows, workflows, impact analysis, and gap analysis."
Functional Consultant / Business Analyst,C3 Business Solutions,"Newport Beach, CA",65000.0,"Other support tasks, such as data entry and data analysis, as requested.We specialize in the implementation and support of Oracle Applications for small to mid…"
Management Analyst I,SCRRA/Metrolink,"Los Angeles, CA",71469.5,"Must be detail-oriented and understand specifics of vendor contracts.The Southern California Regional Rail Authority (SCRRA), operator of the METROLINK…"
Lead Business Analyst,New American Funding,"Tustin, CA",105000.0,BS/BA degree and Business Analysis Certificate; at least 3-4 years' experience in this field of work is preferred.Makes final decision on severity of defects.
Business Analyst,Datalinkage,"Torrance, CA",107500.0,"Minimum 5 years of relevant technical and business work experience.Bachelors Degree in Computer Science, Information Systems."
"Data Science Analyst, Senior/Data Science Analyst, Principal...",Orange County Transportation Authority,"Orange, CA",114790.0,"Under minimal guidance, supports a variety of projects and teams with insights gained from analyzing OCTA and third-party transportation, demographic, and other…"
Business Intelligence Analyst,Thinkbox Technology Group,"Los Angeles, CA",67500.0,A minimum of 5 years’ experience in business analysis or a related field.Business Analysts are responsible for bridging the gap between IT and the business…
Business Analyst - Strategy Consulting,Bainbridge,"Phoenix, AZ",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Researcher Data Analyst Specialist VII (Job 2371),Arizona Supreme Court,"Phoenix, AZ",64175.0,"As Researcher in the Administrative Services Unit for the Adult Probation Services (APS) Division, you will work with a team of professionals who develop adult…"
Digital Campaign Analyst,2060 Digital,"Phoenix, AZ",45000.0,"Strong skillset in data analysis and mathematics with deep knowledge of Microsoft Excel.Gather and analyze data, create reports, and present findings to…"
Data Analyst - Workers' Compensationnew,TheBestIRS,"Scottsdale, AZ",37500.0,We have an immediate junior-level opening for a Data Analyst.The role will provide clerical and data management administrative support to the Insurance program…
Data Analyst,"City of Norfolk, VA","Norfolk, VA",65000.0,The City of Norfolk's Office of Budget & Strategic Planning is currently seeking qualified candidates with proven research and analytical experience for the…
Business Intelligence & Data Analyst,PROSOFT,"Norfolk, VA",125000.0,"A. Create BI reports and dashboards.B. Utilize Python, R, SQL, related technologies to perform artificial intelligence and machine learning on big data."
PROGRAM ANALYST,US Department of the Navy,"Little Creek, VA",105423.5,"Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position…"
Senior Data Analyst,Assent Advisory Group,"Norfolk, VA",100000.0,"AAG is looking for a full time Senior Data Analyst with strong data visualization skills for an opportunity with the Department of Defense in Norfolk, VA."
"Military Operations Analyst – Flag Exercise, USAF HQ ACC - A...","Trinity Tek Unlimited, LLC","Hampton, VA",86000.0,• *Candidate must have demonstrated three (3) years of experience in a position utilizing the following skills and systems within the last 3 years.
"Military Operations Analyst – Flag Exercise, USAF HQ ACC - A...","Trinity Tek Unlimited, LLC","Hampton, VA",86000.0,"*Military Operations Analyst – Flag Exercise, USAF HQ ACC - Aviation Job Type: * Full-time, 4 year Contract Location: Hampton, VA Work Address: …"
Data Analyst,"City of Norfolk, VA","Norfolk, VA",65000.0,"Increases usage and awareness of city data assets.Gathers data, builds reports, and develops advanced analytics that effectively address business needs…"
Data Analyst,Patient Advocate Foundation,"Hampton, VA",62500.0,Manage all aspects of data related activities including data extraction & processing to prepare data for internal and external reports.
Business Intelligence & Data Analyst,PROSOFT,"Norfolk, VA",125000.0,"A. Experience Six years of experience in interpreting and analyzing data for data-driven solutions, data regression models using predictive data modeling and…"
PROGRAM ANALYST,US Department of Defense,"Suffolk, VA",76691.5,Training in Joint Travel Regulations and Joint Staff travel requirements for joint training support functions.0343 Management And Program Analysis.
PROGRAM ANALYST,US Department of the Air Force,"Langley AFB, VA",124575.5,"Ability to communicate, both orally and in writing, clearly, concisely, and with technical accuracy.The primary purpose of this position is to serve as a…"
SUPERVISORY PROGRAM ANALYST,US Department of Defense,"Suffolk, VA",146538.0,Preparing budgetary estimates and justifications to obtain and secure program fiscal resources.This position is part of the Organization of the Joint Chiefs of…
Data Analyst,Patient Advocate Foundation,"Hampton, VA",62500.0,"We provide assistance to patients through effective mediation to assure access to quality health care, maintenance of employment and preservation of financial…"
Business Analyst - Strategy Consulting,Bainbridge,"Atlanta, GA",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Senior Consultant - Power BI Data Analyst,WNA-LTD.com,"Atlanta, GA",75000.0,"Exceptional math, spreadsheet and data analytics skills with incredible attention to detail and accuracy.Develop and analyze budget and forecast data."
Business & IT Analyst,Freedom Electronics,"Kennesaw, GA",45000.0,"2205 May Court NW, Kennesaw, GA, 30144.POSITION*: Business & IT Analyst ; Full-Time Position; 40hrs per week, located in Kennesaw, GA."
"Student Information Systems Design Analyst, Special Ed - Off...",Gwinnett County Public Schools,"Gwinnett County, GA",58949.0,"Provide training support for division initiatives.Design system tests, develop, document, and support Student Information System software testing, installation…"
"Business Analyst, Spectrum",Georgia State University,"Atlanta, GA",61000.0,Develops and disseminate standardized reports blending data from financial and HR systems to support data-informed decision making.
MANAGEMENT AND PROGRAM ANALYSTnew,US Department of the Air Force,"Peterson AFB, CO",89623.5,"Expert Ability to gather, assemble, and analyze facts, and determine the correct tool to apply to difficult study scenarios; draw sound conclusions to ensure…"
Data Integration / ETL Systems Analyst,University of Colorado,"Colorado Springs, CO",65144.0,"Create, maintain, and participate in data protection, business continuity, and disaster recovery planning and testing for enterprise applications data…"
PROGRAM ANALYST,US Department of the Air Force,"Peterson AFB, CO",68057.5,Skill and ability to develop training programs and conduct training and testing.Ph.D. or equivalent doctoral degree or 3 full years of progressively higher…
MANAGEMENT AND PROGRAM ANALYST,US Department of the Air Force,"Peterson AFB, CO",89623.5,"Expert Ability to gather, assemble, and analyze facts, and determine the correct tool to apply to difficult study scenarios; draw sound conclusions to ensure…"
Data Integration / ETL Systems Analyst,University of Colorado,"Colorado Springs, CO",65144.0,This position focuses on the lifecycle of data validation and integrations across numerous enterprise applications.
MANAGEMENT AND PROGRAM ANALYST,US Department of the Air Force,"Peterson AFB, CO",89623.5,"Duties Summary Click on """" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to…"
Data Integration / ETL Systems Analyst,University of Colorado,"Colorado Springs, CO",65144.0,This position focuses on the lifecycle of data validation and integrations across numerous enterprise applications. This position is responsible for the design…
